uf,ano,tri,n,ncol,obj_ok,cid_col_presente,n_cid_principal_L732,filtro_consistente,base
ES,2023,4,169,62,TRUE,TRUE,169,TRUE,sia
ES,2024,1,204,62,TRUE,TRUE,204,TRUE,sia
ES,2024,2,208,62,TRUE,TRUE,208,TRUE,sia
ES,2024,3,257,62,TRUE,TRUE,257,TRUE,sia
ES,2024,4,292,62,TRUE,TRUE,292,TRUE,sia
ES,2025,1,307,62,TRUE,TRUE,307,TRUE,sia
ES,2025,2,321,62,TRUE,TRUE,321,TRUE,sia
ES,2025,3,308,62,TRUE,TRUE,308,TRUE,sia
ES,2025,4,247,62,TRUE,TRUE,247,TRUE,sia
GO,2020,1,37,62,TRUE,TRUE,37,TRUE,sia
GO,2020,2,71,62,TRUE,TRUE,71,TRUE,sia
GO,2020,3,80,62,TRUE,TRUE,80,TRUE,sia
GO,2020,4,93,62,TRUE,TRUE,93,TRUE,sia
GO,2021,1,91,62,TRUE,TRUE,91,TRUE,sia
GO,2021,2,41,62,TRUE,TRUE,41,TRUE,sia
GO,2021,3,48,62,TRUE,TRUE,48,TRUE,sia
GO,2021,4,67,62,TRUE,TRUE,67,TRUE,sia
GO,2022,1,83,62,TRUE,TRUE,83,TRUE,sia
GO,2022,2,124,62,TRUE,TRUE,124,TRUE,sia
GO,2022,3,148,62,TRUE,TRUE,148,TRUE,sia
GO,2022,4,164,62,TRUE,TRUE,164,TRUE,sia
GO,2023,1,180,62,TRUE,TRUE,180,TRUE,sia
GO,2023,2,186,62,TRUE,TRUE,186,TRUE,sia
GO,2023,3,221,62,TRUE,TRUE,221,TRUE,sia
GO,2023,4,272,62,TRUE,TRUE,272,TRUE,sia
GO,2024,1,260,62,TRUE,TRUE,260,TRUE,sia
GO,2024,2,351,62,TRUE,TRUE,351,TRUE,sia
GO,2024,3,327,62,TRUE,TRUE,327,TRUE,sia
GO,2024,4,321,62,TRUE,TRUE,321,TRUE,sia
GO,2025,1,335,62,TRUE,TRUE,335,TRUE,sia
GO,2025,2,361,62,TRUE,TRUE,361,TRUE,sia
GO,2025,3,365,62,TRUE,TRUE,365,TRUE,sia
GO,2025,4,249,62,TRUE,TRUE,249,TRUE,sia
